CustomerID,nombre,fecha,order_total,gasto_acum
1,"Liu, Baker and Mason",2022-01-05,820.02,820.02
1,"Liu, Baker and Mason",2022-02-17,171.09,991.11
1,"Liu, Baker and Mason",2022-02-21,1601.11,2592.22
1,"Liu, Baker and Mason",2022-02-23,2051.59,4643.81
1,"Liu, Baker and Mason",2022-04-23,506.51,5150.32
1,"Liu, Baker and Mason",2022-05-22,389.55,5539.87
1,"Liu, Baker and Mason",2022-06-26,1841.10,7380.97
1,"Liu, Baker and Mason",2022-07-11,1192.14,8573.11
1,"Liu, Baker and Mason",2022-07-26,631.20,9204.31
1,"Liu, Baker and Mason",2022-08-04,1242.19,10446.50
1,"Liu, Baker and Mason",2022-08-13,891.28,11337.78
1,"Liu, Baker and Mason",2022-08-21,1158.03,12495.81
1,"Liu, Baker and Mason",2022-10-10,2484.57,14980.38
1,"Liu, Baker and Mason",2022-10-24,242.48,15222.86
1,"Liu, Baker and Mason",2023-01-01,2136.32,17359.18
1,"Liu, Baker and Mason",2023-04-26,1583.14,18942.32
1,"Liu, Baker and Mason",2023-05-23,1188.32,20130.64
1,"Liu, Baker and Mason",2023-06-26,734.34,20864.98
1,"Liu, Baker and Mason",2023-08-28,1905.91,22770.89
1,"Liu, Baker and Mason",2023-08-28,637.84,23408.73
2,"Evans, Fowler and Lynch",2022-01-05,57.21,57.21
2,"Evans, Fowler and Lynch",2022-03-16,1103.44,1160.65
2,"Evans, Fowler and Lynch",2022-05-05,2259.68,3420.33
2,"Evans, Fowler and Lynch",2022-05-14,4157.66,7577.99
2,"Evans, Fowler and Lynch",2022-12-02,282.86,7860.85
2,"Evans, Fowler and Lynch",2023-01-07,261.67,8122.52
2,"Evans, Fowler and Lynch",2023-02-01,107.52,8230.04
2,"Evans, Fowler and Lynch",2023-04-23,1200.07,9430.11
2,"Evans, Fowler and Lynch",2023-05-31,35.84,9465.95
2,"Evans, Fowler and Lynch",2023-07-29,1041.60,10507.55
2,"Evans, Fowler and Lynch",2023-08-25,2895.96,13403.51
2,"Evans, Fowler and Lynch",2023-09-28,1149.96,14553.47
2,"Evans, Fowler and Lynch",2023-10-12,3111.35,17664.82
2,"Evans, Fowler and Lynch",2024-01-13,701.22,18366.04
2,"Evans, Fowler and Lynch",2024-02-21,923.01,19289.05
2,"Evans, Fowler and Lynch",2024-03-01,457.29,19746.34
3,"Sellers, George and Burns",2022-07-24,543.96,543.96
3,"Sellers, George and Burns",2022-08-13,989.91,1533.87
3,"Sellers, George and Burns",2022-12-09,274.36,1808.23
3,"Sellers, George and Burns",2023-02-16,462.56,2270.79
3,"Sellers, George and Burns",2023-08-05,1879.04,4149.83
3,"Sellers, George and Burns",2023-10-22,853.04,5002.87
3,"Sellers, George and Burns",2023-11-08,368.19,5371.06
3,"Sellers, George and Burns",2023-12-12,889.56,6260.62
3,"Sellers, George and Burns",2023-12-28,860.32,7120.94
